202312051644
baigai
x
yagura
spinner_hydrant,others,1098,16,3,4,win
maneuver_spla_collabo,others,1302,5,1,5,win
hude_pablo,others,1222,13,3,5,win
shooter_h3_d,myself,878,6,1,3,win
shelter_spy_sorella,others,1104,7,5,5,lose
maneuver_kelvin,others,850,8,11,4,lose
shooter_bottle_foil,others,1081,7,5,4,lose
shooter_52,others,987,6,9,5,lose
a_x,a_y,a_sp,a_life,b_x,b_y,b_sp,b_life,y_x,y_y,y_sp,y_life,x_x,x_y,x_sp,x_life,u_x,u_y,u_sp,u_life,r_x,r_y,r_sp,r_life,d_x,d_y,d_sp,d_life,l_x,l_y,l_sp,l_life
1675,196,6,1,1674,196,0,1,1670,149,0,1,nan,nan,0,1,186,781,nan,1,nan,nan,nan,1,167,873,nan,1,159,834,nan,1
nan,nan,6,1,nan,nan,9,1,1616,144,3,1,nan,nan,9,1,306,642,0,1,86,822,0,1,301,730,6,1,294,683,6,1
nan,nan,6,1,nan,nan,9,1,nan,nan,3,1,1571,164,6,1,344,632,0,1,126,814,0,1,345,722,6,1,338,669,6,1
1559,205,5,1,1558,205,9,1,nan,nan,3,1,1546,170,9,1,373,624,0,1,135,808,nan,1,371,716,6,1,367,659,4,1
1538,211,nan,1,1537,212,1,1,nan,nan,3,1,1508,179,6,1,424,610,0,1,103,811,nan,1,398,707,4,1,394,648,5,1
1526,215,6,1,1496,139,5,1,nan,nan,3,1,1475,190,9,1,456,610,2,1,91,810,nan,1,426,681,6,1,427,694,5,1
1511,222,6,1,1460,142,nan,1,nan,nan,3,1,1443,196,9,1,468,624,nan,1,105,803,nan,1,105,789,6,1,nan,nan,5,1
1478,233,6,1,1434,140,nan,1,nan,nan,3,1,1418,199,9,1,467,615,nan,1,123,802,nan,1,474,652,6,1,469,628,5,1
1447,239,9,1,1417,135,6,1,nan,nan,3,1,1395,204,6,1,139,792,nan,1,140,806,nan,1,487,654,6,1,495,627,5,1
1417,246,9,1,1398,136,9,1,nan,nan,3,1,1378,207,9,1,522,612,nan,1,155,810,nan,1,506,652,nan,1,524,625,6,1
1388,250,9,1,1388,250,1,1,1354,189,13,1,nan,nan,9,1,550,629,nan,1,159,823,0,1,524,642,0,1,552,642,nan,1
1365,251,9,1,1362,142,5,1,nan,nan,33,1,1312,219,9,1,562,629,nan,1,146,837,nan,1,535,629,0,1,571,621,nan,1
1344,254,6,1,1332,142,9,1,1281,206,33,1,1277,225,9,1,595,605,nan,1,132,847,nan,1,548,605,0,1,597,618,nan,1
1330,256,6,1,1298,140,66,1,1256,211,33,1,nan,nan,9,1,625,621,8,1,116,851,nan,1,581,593,0,1,583,606,nan,1
1300,263,6,1,1262,140,39,1,1235,215,33,1,nan,nan,9,1,653,611,8,1,100,851,nan,1,599,568,0,1,nan,nan,nan,1
1272,264,6,1,1237,137,91,1,1220,219,33,1,1189,238,9,1,87,844,8,1,89,858,nan,1,594,546,0,1,682,614,nan,1
1270,264,6,1,1223,137,46,1,1208,227,3,1,1171,239,9,1,684,606,9,1,81,869,nan,1,601,535,3,1,708,611,nan,1
1274,261,6,1,1198,138,43,1,1203,231,33,1,1154,240,9,1,709,614,9,1,95,857,nan,1,610,533,6,1,731,612,nan,1
1260,258,6,1,1172,148,51,1,1191,236,33,1,1143,240,9,1,730,614,9,1,114,853,nan,1,637,518,6,1,753,612,2,1
1246,256,6,1,1147,162,51,1,1175,241,33,1,1133,239,9,1,741,612,2,1,157,834,nan,1,668,501,6,1,774,614,6,1
1226,262,6,1,1126,167,51,1,1161,245,33,1,1124,245,9,1,751,612,2,1,198,820,nan,1,694,497,6,1,795,619,6,1
1190,268,9,1,1104,159,51,1,1143,247,33,1,1117,252,9,1,765,610,nan,1,239,810,nan,1,713,496,8,1,817,621,9,1
1167,271,5,1,1080,151,51,1,nan,nan,31,1,1106,259,9,1,780,607,nan,1,277,805,nan,1,731,498,9,1,838,620,26,1
1145,275,5,1,1058,154,51,1,1072,248,35,1,1077,286,9,1,790,608,nan,1,311,806,nan,1,748,501,9,1,857,622,26,1
1129,285,3,1,1040,163,51,1,1049,246,3,1,nan,nan,6,1,802,603,nan,1,327,813,nan,1,761,504,9,1,870,626,26,1
1117,296,63,1,1025,175,51,1,1033,246,39,1,1021,329,9,1,811,592,nan,1,343,822,2,1,771,507,21,1,881,628,26,1
1106,305,65,1,1015,187,63,1,1013,248,39,1,1007,336,9,1,817,581,8,1,363,826,nan,1,784,507,22,1,891,631,26,1
1094,332,66,1,998,192,66,1,982,248,39,1,981,352,9,1,825,572,8,1,378,830,nan,1,797,502,22,1,900,634,26,1
1107,347,4,1,994,194,63,1,982,235,39,1,966,365,9,1,835,555,20,1,383,843,nan,1,813,496,22,1,910,638,26,1
1106,348,4,1,994,194,59,1,nan,nan,39,1,960,372,9,1,845,522,20,1,387,858,nan,1,810,483,22,1,919,643,26,1
1095,349,4,1,977,194,61,1,1001,194,39,1,960,378,9,1,840,493,20,1,392,869,nan,1,918,636,22,1,919,649,66,1
1088,344,4,1,954,210,61,1,1003,182,39,1,972,373,9,1,838,486,20,1,401,869,nan,1,918,643,22,1,920,656,69,1
1088,342,4,1,951,231,6,1,998,175,3,1,978,360,9,1,850,483,20,1,412,858,nan,1,921,649,25,1,922,663,6,1
1089,342,41,1,948,248,69,1,989,154,3,1,992,333,9,1,846,469,20,1,414,842,5,1,413,828,25,1,931,667,66,1
1083,348,43,1,946,262,69,1,982,128,3,1,1014,308,9,1,842,459,20,1,412,826,8,1,940,654,25,1,941,667,66,1
1082,350,51,1,1081,350,nan,1,982,122,3,1,1034,303,9,1,844,456,20,1,407,811,8,1,805,510,25,1,944,656,66,1
1082,350,53,1,940,292,3,1,977,120,3,1,1045,309,3,1,850,448,20,1,405,797,8,1,824,510,25,1,943,646,nan,1
1080,343,66,1,940,291,5,1,976,135,3,1,1065,301,6,1,857,442,20,1,406,783,8,1,856,492,25,1,940,646,91,1
1082,311,66,1,1081,311,6,1,979,151,3,1,1091,294,nan,1,859,420,20,1,411,770,8,1,862,482,25,1,937,647,91,1
1092,281,66,1,940,292,3,1,982,170,3,1,nan,nan,nan,1,848,404,20,1,420,758,8,1,862,485,25,1,936,647,91,1
1098,270,61,1,940,292,66,1,971,188,3,1,1091,294,9,1,838,405,20,1,431,749,8,1,864,495,25,1,936,636,91,1
1097,272,6,1,939,290,91,1,962,203,5,1,1085,295,11,1,839,413,20,1,446,746,8,1,864,509,25,1,934,622,91,1
1097,274,65,1,931,289,61,1,958,220,5,1,1057,293,13,1,845,417,20,1,460,748,8,1,870,520,25,1,933,606,91,1
1097,276,65,1,895,303,65,1,953,241,5,1,1042,282,19,1,859,411,20,1,471,749,8,1,899,520,25,1,933,591,91,1
1103,293,66,1,881,312,65,1,947,273,5,1,1060,272,19,1,886,403,20,1,484,752,8,1,911,497,25,1,934,578,46,1
1107,314,66,1,882,313,6,1,943,293,51,1,1080,261,5,1,890,432,20,1,502,749,8,1,919,488,25,1,934,564,46,1
1108,332,66,1,884,315,96,1,944,285,55,1,1094,255,6,1,518,731,2,1,519,745,2,1,923,491,25,1,931,552,46,1
1096,344,66,1,884,315,93,1,944,294,55,1,1100,250,nan,1,920,538,22,1,535,745,23,1,921,538,25,1,922,551,46,1
1077,375,66,1,884,315,93,1,945,293,55,1,1094,258,6,1,549,732,22,1,550,746,23,1,879,529,25,1,923,562,4,1
1081,404,66,1,884,312,91,1,945,293,53,1,1086,278,2,1,892,535,22,1,557,735,24,1,844,547,25,1,929,575,66,1
1088,420,66,1,885,286,96,1,946,293,53,1,1077,295,26,1,871,534,2,1,570,729,24,1,827,529,25,1,935,570,66,1
1096,431,66,1,893,243,93,1,948,291,53,1,1063,308,9,1,862,523,28,1,584,731,25,1,584,717,25,1,929,553,66,1
1094,440,66,1,896,223,nan,1,948,291,53,1,1064,318,9,1,860,506,2,1,597,733,25,1,926,535,25,1,927,549,6,1
1082,446,66,1,897,221,nan,1,944,291,53,1,1054,318,9,1,859,491,nan,1,611,729,25,1,611,715,25,1,928,571,69,1
1068,446,6,1,897,222,nan,1,938,291,53,1,1044,315,9,1,865,479,2,1,649,726,28,1,827,556,25,1,920,594,66,1
1066,458,69,1,898,227,nan,1,938,292,53,1,1053,318,9,1,874,468,nan,1,677,719,2,1,832,554,25,1,918,608,66,1
1072,470,69,1,903,249,nan,1,938,290,53,1,1064,310,9,1,878,462,nan,1,687,718,28,1,843,522,25,1,919,619,62,1
1070,477,1,1,1069,477,nan,1,936,283,53,1,1085,281,9,1,878,468,7,1,711,718,28,1,849,495,25,1,914,631,62,1
1057,474,1,1,1056,474,nan,1,938,272,53,1,1097,243,9,1,877,487,4,1,738,711,28,1,847,479,25,1,913,643,62,1
1061,460,nan,1,1060,460,nan,1,941,270,53,1,1088,213,9,1,872,521,40,1,764,696,28,1,838,497,26,1,919,654,62,1
