202312051655
baigai
x
yagura
wiper_drive,others,1528,9,3,6,win
shooter_h3_d,myself,1097,5,4,2,win
shooter_spla,others,1251,12,9,5,win
blaster_crash,others,1106,12,5,6,win
shooter_modelar_rg,others,1989,8,7,6,lose
wiper_drive,others,1106,7,1,4,lose
maneuver_spla_collabo,others,892,8,9,4,lose
blaster_long,others,1027,3,6,3,lose
a_x,a_y,a_sp,a_life,b_x,b_y,b_sp,b_life,y_x,y_y,y_sp,y_life,x_x,x_y,x_sp,x_life,u_x,u_y,u_sp,u_life,r_x,r_y,r_sp,r_life,d_x,d_y,d_sp,d_life,l_x,l_y,l_sp,l_life
1449,187,0,1,1481,119,nan,1,1412,213,nan,1,nan,nan,nan,1,nan,nan,6,1,nan,nan,6,1,nan,nan,6,1,nan,nan,6,1
1680,176,9,1,1837,108,9,1,nan,nan,9,1,1635,153,9,1,270,639,0,1,271,653,0,1,270,639,6,1,nan,nan,6,1
1612,188,6,1,1785,120,6,1,nan,nan,6,1,nan,nan,9,1,321,633,0,1,323,647,0,1,322,633,6,1,nan,nan,6,1
1577,197,6,1,1577,197,6,1,nan,nan,5,1,nan,nan,9,1,nan,nan,0,1,nan,nan,4,1,371,657,6,1,373,670,6,1
1544,198,6,1,1716,146,6,1,nan,nan,9,1,nan,nan,6,1,389,645,0,1,nan,nan,8,1,421,652,6,1,391,658,6,1
1514,205,nan,1,1691,155,6,1,nan,nan,9,1,1485,173,6,1,417,645,0,1,400,640,7,1,456,645,nan,1,418,612,6,1
1475,216,nan,1,1671,161,6,1,1457,207,9,1,1458,175,6,1,446,586,2,1,nan,nan,7,1,477,626,nan,1,448,600,nan,1
nan,nan,nan,1,1644,167,6,1,1438,205,9,1,nan,nan,6,1,477,589,2,1,nan,nan,0,1,494,637,nan,1,480,603,nan,1
1617,172,nan,1,1617,172,6,1,1410,215,9,1,1432,179,6,1,505,599,2,1,nan,nan,1,1,514,645,nan,1,507,612,nan,1
nan,nan,nan,1,1583,183,6,1,1383,217,9,1,1410,174,6,1,522,601,2,1,524,655,1,1,523,601,nan,1,524,615,3,1
nan,nan,1,1,1549,197,6,1,1361,221,11,1,1382,171,6,1,543,603,2,1,nan,nan,1,1,544,603,nan,1,545,616,9,1
