202312161944
chozame
x
area
charger_4k_scope,others,432,5,1,2,win
shooter_sharp,myself,515,5,2,2,win
wiper_gim,others,537,4,1,2,win
shooter_spla,others,506,4,3,2,win
stringer_lact,others,759,4,4,2,lose
blaster_hot_custom,others,371,2,3,1,lose
shooter_spla,others,376,3,3,1,lose
charger_4k_scope,others,249,0,4,0,lose
a_x,a_y,a_sp,a_life,b_x,b_y,b_sp,b_life,y_x,y_y,y_sp,y_life,x_x,x_y,x_sp,x_life,u_x,u_y,u_sp,u_life,r_x,r_y,r_sp,r_life,d_x,d_y,d_sp,d_life,l_x,l_y,l_sp,l_life
nan,nan,nan,False,974,8,nan,False,735,216,nan,False,483,896,nan,False,67,617,nan,False,1396,491,nan,False,1099,304,nan,False,nan,nan,nan,False
nan,nan,nan,False,1154,401,nan,False,nan,nan,nan,False,1859,825,nan,False,88,620,nan,False,1671,867,nan,False,nan,nan,nan,False,nan,nan,nan,False
nan,nan,nan,False,96,428,nan,False,nan,nan,nan,False,180,993,nan,False,nan,nan,nan,False,1770,591,nan,False,nan,nan,nan,False,nan,nan,nan,False
nan,nan,nan,False,96,428,nan,False,nan,nan,nan,False,180,993,nan,False,nan,nan,nan,False,1770,591,nan,False,nan,nan,nan,False,nan,nan,nan,False
nan,nan,nan,False,672,405,nan,False,nan,nan,nan,False,180,992,nan,False,84,921,nan,False,883,482,nan,False,926,240,nan,False,nan,nan,nan,False
nan,nan,nan,False,676,410,nan,False,798,281,nan,False,1340,382,nan,False,131,583,nan,False,1692,843,nan,False,18,903,nan,False,nan,nan,nan,False
nan,nan,nan,False,57,284,nan,False,nan,nan,nan,False,57,402,nan,False,nan,nan,nan,False,393,380,nan,False,nan,nan,nan,False,nan,nan,nan,False
nan,nan,nan,False,57,284,nan,False,nan,nan,nan,False,57,402,nan,False,1599,493,nan,False,393,380,nan,False,nan,nan,nan,False,nan,nan,nan,False
nan,nan,nan,False,1082,111,nan,False,1879,969,nan,False,1154,772,nan,False,84,921,nan,False,599,-20,nan,False,1591,348,nan,False,nan,nan,nan,False
nan,nan,nan,False,1082,111,nan,False,1584,1007,nan,False,308,925,nan,False,nan,nan,nan,False,1267,300,nan,False,1584,404,nan,False,nan,nan,nan,False
